participant,item,congruency,task,IA_LABEL,totread,fpass,spass,regpath,regin,reginc,regout,regoutc,skip,accuracy,rt,order,trial_trt
2_2,19_cong,congruent,fact_check,Spillover,2354,2354,,2354,0,0,0,0,0,1,2437,2,30659
2_2,19_cong,congruent,fact_check,Coda,1140,1140,,7616,0,0,1,1,0,1,2437,2,30659
2_2,18_inc,incongruent,fact_check,Context,13820,7539,784,7539,1,3,0,0,0,1,3412,2,20885
2_2,18_inc,incongruent,fact_check,Target,3013,2067,946,3797,0,0,1,1,0,1,3412,2,20885
2_2,18_inc,incongruent,fact_check,Spillover,1874,1695,179,1695,0,0,0,0,0,1,3412,2,20885
2_2,18_inc,incongruent,fact_check,Coda,2178,2178,,7854,0,0,1,1,0,1,3412,2,20885
3_1,5_inc,incongruent,fact_check,Context,24536,18918,5618,18918,1,1,0,0,0,1,12634,1,34359
3_1,5_inc,incongruent,fact_check,Target,3718,2830,702,2830,1,2,0,0,0,1,12634,1,34359
3_1,5_inc,incongruent,fact_check,Spillover,2407,785,686,785,1,1,0,0,1,1,12634,1,34359
3_1,5_inc,incongruent,fact_check,Coda,3698,1526,2172,12611,0,0,1,2,0,1,12634,1,34359
3_1,7_inc,incongruent,fact_check,Context,32319,21603,7932,21603,1,2,0,0,0,0,4562,1,44550
3_1,7_inc,incongruent,fact_check,Target,5163,3703,1460,3703,1,1,0,0,0,0,4562,1,44550
3_1,7_inc,incongruent,fact_check,Spillover,3056,2027,127,2027,0,0,0,0,0,0,4562,1,44550
3_1,7_inc,incongruent,fact_check,Coda,4012,3522,490,17217,0,0,1,1,0,0,4562,1,44550
3_1,3_inc,incongruent,fact_check,Context,30853,21886,8967,21886,1,1,0,0,0,1,3373,1,40957
3_1,3_inc,incongruent,fact_check,Target,3080,2164,916,2164,0,0,0,0,0,1,3373,1,40957
3_1,3_inc,incongruent,fact_check,Spillover,3511,1740,1771,1740,0,0,0,0,0,1,3373,1,40957
3_1,3_inc,incongruent,fact_check,Coda,3513,2516,997,15167,0,0,1,1,0,1,3373,1,40957
3_1,6_cong,congruent,fact_check,Context,19460,11678,4436,11678,1,4,0,0,0,1,3551,1,39302
3_1,6_cong,congruent,fact_check,Target,7343,467,4124,9027,1,4,1,1,0,1,3551,1,39302
3_1,6_cong,congruent,fact_check,Spillover,7215,3264,1433,4905,1,1,1,1,0,1,3551,1,39302
3_1,6_cong,congruent,fact_check,Coda,5284,403,672,13692,0,0,1,3,0,1,3551,1,39302
3_1,4_cong,congruent,fact_check,Context,28999,19582,9158,19582,1,2,0,0,0,1,2963,1,35785
3_1,4_cong,congruent,fact_check,Target,2041,1323,718,1323,0,0,0,0,0,1,2963,1,35785
3_1,4_cong,congruent,fact_check,Spillover,2069,1620,449,1620,0,0,0,0,0,1,2963,1,35785
3_1,4_cong,congruent,fact_check,Coda,2676,2676,,13260,0,0,1,1,0,1,2963,1,35785
3_1,11_inc,incongruent,fact_check,Context,17550,11232,107,11232,1,6,0,0,0,0,13173,1,27632
3_1,11_inc,incongruent,fact_check,Target,4121,539,770,5624,0,0,1,3,0,0,13173,1,27632
3_1,11_inc,incongruent,fact_check,Spillover,3412,386,431,2688,0,0,1,2,0,0,13173,1,27632
3_1,11_inc,incongruent,fact_check,Coda,2549,2549,,8088,0,0,1,1,0,0,13173,1,27632
3_1,9_inc,incongruent,fact_check,Context,19242,11751,893,11751,1,4,0,0,0,0,7481,1,27165
3_1,9_inc,incongruent,fact_check,Target,4444,1692,1089,1692,0,0,0,0,0,0,7481,1,27165
3_1,9_inc,incongruent,fact_check,Spillover,1977,215,1613,3810,0,0,1,1,0,0,7481,1,27165
3_1,9_inc,incongruent,fact_check,Coda,1502,1502,,9912,0,0,1,1,0,0,7481,1,27165
3_1,1_inc,incongruent,fact_check,Context,16089,11548,2979,11548,1,2,0,0,0,0,13512,1,24892
3_1,1_inc,incongruent,fact_check,Target,2913,2120,300,2120,1,1,0,0,0,0,13512,1,24892
3_1,1_inc,incongruent,fact_check,Spillover,4003,3634,369,3634,1,1,0,0,0,0,13512,1,24892
3_1,1_inc,incongruent,fact_check,Coda,1887,127,1760,7590,0,0,1,2,0,0,13512,1,24892
3_1,12_cong,congruent,fact_check,Context,12267,10780,1487,10780,1,1,0,0,0,1,3496,1,20221
3_1,12_cong,congruent,fact_check,Target,1750,1750,,1750,0,0,0,0,0,1,3496,1,20221
3_1,12_cong,congruent,fact_check,Spillover,3461,3233,228,3233,0,0,0,0,0,1,3496,1,20221
3_1,12_cong,congruent,fact_check,Coda,2743,2743,,4458,0,0,1,1,0,1,3496,1,20221
3_1,21_inc,incongruent,entertainment,Context,18920,14452,4468,14452,1,1,0,0,0,0,8265,2,28418
3_1,21_inc,incongruent,entertainment,Target,3568,2705,617,2705,1,1,0,0,0,0,8265,2,28418
3_1,21_inc,incongruent,entertainment,Spillover,3559,2768,791,2768,0,0,0,0,0,0,8265,2,28418
3_1,21_inc,incongruent,entertainment,Coda,2371,1774,597,8493,0,0,1,1,0,0,8265,2,28418
3_1,16_cong,congruent,entertainment,Context,21739,15470,6269,15470,1,1,0,0,0,1,3059,2,30274
3_1,16_cong,congruent,entertainment,Target,2922,2812,110,2812,0,0,0,0,0,1,3059,2,30274
3_1,16_cong,congruent,entertainment,Spillover,3694,3694,,3694,0,0,0,0,0,1,3059,2,30274
3_1,16_cong,congruent,entertainment,Coda,1919,1919,,8298,0,0,1,1,0,1,3059,2,30274
3_1,22_cong,congruent,entertainment,Context,15954,13213,2741,13213,1,1,0,0,0,0,4152,2,21972
3_1,22_cong,congruent,entertainment,Target,1293,1293,,1293,0,0,0,0,0,0,4152,2,21972
3_1,22_cong,congruent,entertainment,Spillover,1659,1659,,1659,0,0,0,0,0,0,4152,2,21972
3_1,22_cong,congruent,entertainment,Coda,2946,2403,275,5687,0,0,1,1,0,0,4152,2,21972
3_1,20_cong,congruent,entertainment,Context,17454,14791,2663,14791,1,1,0,0,0,1,3891,2,24411
3_1,20_cong,congruent,entertainment,Target,2121,2121,,2121,0,0,0,0,0,1,3891,2,24411
3_1,20_cong,congruent,entertainment,Spillover,2395,2395,,2395,0,0,0,0,0,1,3891,2,24411
3_1,20_cong,congruent,entertainment,Coda,2441,2150,291,5104,0,0,1,1,0,1,3891,2,24411
3_1,14_cong,congruent,entertainment,Context,12332,11264,1068,11264,1,1,0,0,0,1,3277,2,19576
